date,price
2025-06-26 00:00:00,10.725237
2025-06-27 00:00:00,10.726425
2025-06-28 00:00:00,10.727622
2025-06-29 00:00:00,10.727622
2025-06-30 00:00:00,10.727622
2025-07-01 00:00:00,10.728837
2025-07-02 00:00:00,10.732418
2025-07-03 00:00:00,10.73359
2025-07-04 00:00:00,10.73479
2025-07-05 00:00:00,10.73479
2025-07-06 00:00:00,10.73479
2025-07-07 00:00:00,10.73479
2025-07-08 00:00:00,10.735963
2025-07-09 00:00:00,10.740715
2025-07-10 00:00:00,10.741915
2025-07-11 00:00:00,10.743112
2025-07-12 00:00:00,10.744297
2025-07-13 00:00:00,10.744297
2025-07-14 00:00:00,10.744297
2025-07-15 00:00:00,10.745488
2025-07-16 00:00:00,10.748979
2025-07-17 00:00:00,10.750178
2025-07-18 00:00:00,10.751308
2025-07-19 00:00:00,10.751836
2025-07-20 00:00:00,10.751836
2025-07-21 00:00:00,10.751836
2025-07-22 00:00:00,10.75302
2025-07-23 00:00:00,10.756636
2025-07-24 00:00:00,10.7578
2025-07-25 00:00:00,10.759025
2025-07-26 00:00:00,10.760185
2025-07-27 00:00:00,10.751836
2025-07-28 00:00:00,10.760185
2025-07-29 00:00:00,10.761374
2025-07-30 00:00:00,10.765019
2025-07-31 00:00:00,10.76623
2025-08-01 00:00:00,10.767417
2025-08-02 00:00:00,10.768695
2025-08-03 00:00:00,10.768695
2025-08-04 00:00:00,10.768695
2025-08-05 00:00:00,10.769905
2025-08-06 00:00:00,10.773444
2025-08-07 00:00:00,10.774638
2025-08-08 00:00:00,10.775842
2025-08-09 00:00:00,10.777031
2025-08-10 00:00:00,10.777031
2025-08-11 00:00:00,10.777031
2025-08-12 00:00:00,10.778221
2025-08-13 00:00:00,10.781823
2025-08-14 00:00:00,10.783021
2025-08-15 00:00:00,10.783021
2025-08-16 00:00:00,10.785413
2025-08-17 00:00:00,10.785413
2025-08-18 00:00:00,10.785413
2025-08-19 00:00:00,10.786645
2025-08-20 00:00:00,10.790271
2025-08-21 00:00:00,10.791492
2025-08-22 00:00:00,10.792705
2025-08-23 00:00:00,10.793893
2025-08-24 00:00:00,10.793893
2025-08-25 00:00:00,10.793893
2025-08-26 00:00:00,10.795046
2025-08-27 00:00:00,10.79861
2025-08-28 00:00:00,10.799847
2025-08-29 00:00:00,10.801047
2025-08-30 00:00:00,10.802254
2025-08-31 00:00:00,10.802254
2025-09-01 00:00:00,10.802254
2025-09-02 00:00:00,10.802254
2025-09-03 00:00:00,10.803343
2025-09-04 00:00:00,10.808273
2025-09-05 00:00:00,10.809505
2025-09-06 00:00:00,10.810666
2025-09-07 00:00:00,10.810666
2025-09-08 00:00:00,10.810666
2025-09-09 00:00:00,10.811895
2025-09-10 00:00:00,10.815401
2025-09-11 00:00:00,10.8165
2025-09-12 00:00:00,10.817694
2025-09-13 00:00:00,10.818917
2025-09-14 00:00:00,10.818917
2025-09-15 00:00:00,10.818917
2025-09-16 00:00:00,10.820173
2025-09-17 00:00:00,10.823668
2025-09-18 00:00:00,10.824891
2025-09-19 00:00:00,10.826067
2025-09-20 00:00:00,10.827265
2025-09-21 00:00:00,10.827265
2025-09-22 00:00:00,10.827265
2025-09-23 00:00:00,10.828429
2025-09-24 00:00:00,10.831913
2025-09-25 00:00:00,10.833121
2025-09-26 00:00:00,10.83442
2025-09-27 00:00:00,10.835574
2025-09-28 00:00:00,10.835574
2025-09-29 00:00:00,10.835574
2025-09-30 00:00:00,10.836709
2025-10-01 00:00:00,10.840151
2025-10-02 00:00:00,10.841301
2025-10-03 00:00:00,10.842491
2025-10-04 00:00:00,10.843644
2025-10-05 00:00:00,10.843644
2025-10-06 00:00:00,10.843644
2025-10-07 00:00:00,10.844764
2025-10-08 00:00:00,10.848242
2025-10-09 00:00:00,10.849411
2025-10-10 00:00:00,10.850578
2025-10-11 00:00:00,10.851721
2025-10-12 00:00:00,10.851721
2025-10-13 00:00:00,10.851721
2025-10-14 00:00:00,10.851721
2025-10-15 00:00:00,10.852878
2025-10-16 00:00:00,10.85754
2025-10-17 00:00:00,10.858686
2025-10-18 00:00:00,10.859842
2025-10-19 00:00:00,10.859842
2025-10-20 00:00:00,10.859842
2025-10-21 00:00:00,10.860996
2025-10-22 00:00:00,10.864446
2025-10-23 00:00:00,10.86555
2025-10-24 00:00:00,10.866684
2025-10-25 00:00:00,10.86785
2025-10-26 00:00:00,10.86785
2025-10-27 00:00:00,10.86785
2025-10-28 00:00:00,10.868975
2025-10-29 00:00:00,10.872398
2025-10-30 00:00:00,10.873519
2025-10-31 00:00:00,10.874651
2025-11-01 00:00:00,10.875787
2025-11-02 00:00:00,10.875787
2025-11-03 00:00:00,10.875787
2025-11-04 00:00:00,10.876956
2025-11-05 00:00:00,10.88028
2025-11-06 00:00:00,10.881439
2025-11-07 00:00:00,10.882563
2025-11-08 00:00:00,10.883643
2025-11-09 00:00:00,10.883643
2025-11-10 00:00:00,10.883643
2025-11-11 00:00:00,10.88477
2025-11-12 00:00:00,10.88477
2025-11-13 00:00:00,10.888154
2025-11-14 00:00:00,10.890342
2025-11-15 00:00:00,10.891428
2025-11-16 00:00:00,10.891428
2025-11-17 00:00:00,10.891428
2025-11-18 00:00:00,10.892533
2025-11-19 00:00:00,10.895534
2025-11-20 00:00:00,10.896691
2025-11-21 00:00:00,10.897812
2025-11-22 00:00:00,10.898924
2025-11-23 00:00:00,10.898924
2025-11-24 00:00:00,10.898924
2025-11-25 00:00:00,10.90004
2025-11-26 00:00:00,10.903398
2025-11-27 00:00:00,10.90447
2025-11-28 00:00:00,10.90447
2025-11-29 00:00:00,10.905581
2025-11-30 00:00:00,10.905581
2025-12-01 00:00:00,10.905581
2025-12-02 00:00:00,10.907745
2025-12-03 00:00:00,10.911205
2025-12-04 00:00:00,10.912364
2025-12-05 00:00:00,10.913465
2025-12-06 00:00:00,10.914602
2025-12-07 00:00:00,10.914602
2025-12-08 00:00:00,10.914602
2025-12-09 00:00:00,10.9157
2025-12-10 00:00:00,10.91903
2025-12-11 00:00:00,10.920104
2025-12-12 00:00:00,10.921424
2025-12-13 00:00:00,10.922496
2025-12-14 00:00:00,10.922496
2025-12-15 00:00:00,10.922496
2025-12-16 00:00:00,10.923606
2025-12-17 00:00:00,10.926854
2025-12-18 00:00:00,10.927942
2025-12-19 00:00:00,10.929039
2025-12-20 00:00:00,10.930121
2025-12-21 00:00:00,10.930121
2025-12-22 00:00:00,10.930121
2025-12-23 00:00:00,10.931205
2025-12-24 00:00:00,10.934599
2025-12-25 00:00:00,10.935661
2025-12-26 00:00:00,10.935661
2025-12-27 00:00:00,10.936711
2025-12-28 00:00:00,10.936711
2025-12-29 00:00:00,10.936711
2025-12-30 00:00:00,10.938825
2025-12-31 00:00:00,10.942003
2026-01-01 00:00:00,10.943068
2026-01-02 00:00:00,10.943068
2026-01-03 00:00:00,10.944117
2026-01-04 00:00:00,10.944117
2026-01-05 00:00:00,10.944117
2026-01-06 00:00:00,10.946253
2026-01-07 00:00:00,10.949369
2026-01-08 00:00:00,10.950388
2026-01-09 00:00:00,10.951441
2026-01-10 00:00:00,10.952515
2026-01-11 00:00:00,10.952515
2026-01-12 00:00:00,10.952515
2026-01-13 00:00:00,10.953571
2026-01-14 00:00:00,10.956738
2026-01-15 00:00:00,10.957794
2026-01-16 00:00:00,10.958828
2026-01-17 00:00:00,10.959848
2026-01-18 00:00:00,10.959848
2026-01-19 00:00:00,10.959848
2026-01-20 00:00:00,10.959848
2026-01-21 00:00:00,10.960898
2026-01-22 00:00:00,10.965096
2026-01-23 00:00:00,10.966134
2026-01-24 00:00:00,10.967207
2026-01-25 00:00:00,10.967207
2026-01-26 00:00:00,10.967207
2026-01-27 00:00:00,10.968254
2026-01-28 00:00:00,10.971413
2026-01-29 00:00:00,10.972448
2026-01-30 00:00:00,10.97348
2026-01-31 00:00:00,10.974522
2026-02-01 00:00:00,10.974522
2026-02-02 00:00:00,10.974522
2026-02-03 00:00:00,10.975524
2026-02-04 00:00:00,10.978642
2026-02-05 00:00:00,10.97971
2026-02-06 00:00:00,10.98075
2026-02-07 00:00:00,10.981779
2026-02-08 00:00:00,10.981779
